antibiotic,model_status,unsupported_reason,n_train,n_calibration,n_test,n_features,test_resistant_count,test_susceptible_count,test_resistant_prevalence,susceptible_threshold,resistant_threshold,threshold_requirement_met,threshold_failure_reason,full_evaluation_possible,evaluation_warning,deployment_candidate,tn,fp,fn,tp,balanced_accuracy,resistant_recall,susceptible_recall,resistant_precision,f1_resistant,auroc,pr_auc,brier_score,likely_to_work_count,likely_to_fail_count,no_call_count,coverage,no_call_rate,called_accuracy,called_balanced_accuracy,resistant_call_recall,susceptible_call_recall,precision_likely_to_fail,precision_likely_to_work,n_called,n_called_true_resistant,n_called_true_susceptible,balanced_accuracy_ci_lower,balanced_accuracy_ci_upper,resistant_recall_ci_lower,resistant_recall_ci_upper,susceptible_recall_ci_lower,susceptible_recall_ci_upper,f1_resistant_ci_lower,f1_resistant_ci_upper,auroc_ci_lower,auroc_ci_upper,pr_auc_ci_lower,pr_auc_ci_upper,brier_score_ci_lower,brier_score_ci_upper,coverage_ci_lower,coverage_ci_upper,called_accuracy_ci_lower,called_accuracy_ci_upper,bootstrap_method,bootstrap_iterations,model_tier
amikacin,unsupported,insufficient class diversity in calibration,187,45,39,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
amoxicillin,calibrated,,39,22,23,31.0,12.0,11.0,0.5217391304347826,0.45,0.85,True,,True,,False,8.0,3.0,7.0,5.0,0.571969696969697,0.4166666666666667,0.7272727272727273,0.625,0.5,0.5265151515151515,0.5228802994627803,0.2815281329136264,15.0,0.0,8.0,0.6521739130434783,0.3478260869565217,0.5333333333333333,0.5,0.0,0.7272727272727273,,0.5333333333333333,15.0,7.0,8.0,0.3801711309523809,0.7597115384615384,0.1599358974358974,0.6666666666666666,0.4361111111111111,1.0,0.2,0.7322966507177031,0.2785539215686274,0.7692307692307693,0.3225829186664785,0.8228078443295834,0.2060856529370916,0.358926380616544,0.4782608695652174,0.8489130434782599,0.2751262626262626,0.7670814479638008,group-level,500.0,not_selected
amoxicillin/clavulanic acid,calibrated,,176,74,76,93.0,23.0,53.0,0.3026315789473684,0.2,0.55,False,called accuracy below target; coverage below minimum,True,,False,52.0,1.0,22.0,1.0,0.5123051681706317,0.0434782608695652,0.981132075471698,0.5,0.08,0.5709598031173093,0.4192757653677069,0.2107593383757374,5.0,2.0,69.0,0.0921052631578947,0.9078947368421052,0.5714285714285714,0.5416666666666666,0.0434782608695652,0.0566037735849056,0.5,0.6,7.0,3.0,4.0,0.472741113053613,0.5612272727272727,0.0,0.1428571428571428,0.9310344827586208,1.0,0.0,0.2412727272727272,0.4002832901926948,0.7375316783910533,0.2602290423728132,0.6041463586770972,0.1746233592255954,0.2478517904237123,0.0263157894736842,0.1710526315789473,0.1666666666666666,1.0,group-level,500.0,not_selected
ampicillin,calibrated,,545,225,229,127.0,126.0,103.0,0.5502183406113537,0.25,0.95,False,coverage below minimum,True,,False,38.0,65.0,21.0,105.0,0.6011326860841424,0.8333333333333334,0.3689320388349514,0.6176470588235294,0.7094594594594594,0.758784096162737,0.8214066035820782,0.1959443769500171,1.0,22.0,206.0,0.1004366812227074,0.8995633187772926,1.0,1.0,0.1746031746031746,0.0097087378640776,1.0,1.0,23.0,22.0,1.0,0.545876201923077,0.6583445023880351,0.7709798775153106,0.8975418938017363,0.2693790322580645,0.4566182624707064,0.650418098649499,0.767169037858693,0.6972749926839779,0.8172054360228299,0.7664501907592345,0.8694270976857135,0.1780570807370395,0.2129911232327273,0.0611353711790393,0.1372578715484826,1.0,1.0,group-level,500.0,not_selected
ampicillin/sulbactam,calibrated,,33,5,4,82.0,3.0,1.0,0.75,0.05,0.55,False,called accuracy below target; too few called samples,True,,False,0.0,1.0,0.0,3.0,0.5,1.0,0.0,0.75,0.8571428571428571,1.0,1.0,0.198046205534736,0.0,4.0,0.0,1.0,0.0,0.75,0.5,1.0,0.0,0.75,,4.0,3.0,1.0,0.5,0.5,1.0,1.0,0.0,0.0,0.4,0.8571428571428571,1.0,1.0,1.0,1.0,0.1516792701568386,0.2791711085299632,1.0,1.0,0.25,1.0,group-level,500.0,not_selected
azithromycin,unsupported,insufficient class diversity in calibration,78,3,6,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
aztreonam,unsupported,insufficient class diversity in calibration,108,21,18,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
beta-lactam,unsupported,insufficient class diversity in training; insufficient class diversity in calibration; no hidden-test samples,0,1,0,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
carbenicillin,unsupported,insufficient class diversity in training; insufficient class diversity in calibration,1,0,1,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
cefalotin,unsupported,insufficient class diversity in calibration,18,8,3,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
