antibiotic,model_status,unsupported_reason,n_train,n_calibration,n_test,n_features,test_resistant_count,test_susceptible_count,test_resistant_prevalence,susceptible_threshold,resistant_threshold,threshold_requirement_met,threshold_failure_reason,full_evaluation_possible,evaluation_warning,deployment_candidate,tn,fp,fn,tp,balanced_accuracy,resistant_recall,susceptible_recall,resistant_precision,f1_resistant,auroc,pr_auc,brier_score,likely_to_work_count,likely_to_fail_count,no_call_count,coverage,no_call_rate,called_accuracy,called_balanced_accuracy,resistant_call_recall,susceptible_call_recall,precision_likely_to_fail,precision_likely_to_work,n_called,n_called_true_resistant,n_called_true_susceptible,balanced_accuracy_ci_lower,balanced_accuracy_ci_upper,resistant_recall_ci_lower,resistant_recall_ci_upper,susceptible_recall_ci_lower,susceptible_recall_ci_upper,f1_resistant_ci_lower,f1_resistant_ci_upper,auroc_ci_lower,auroc_ci_upper,pr_auc_ci_lower,pr_auc_ci_upper,brier_score_ci_lower,brier_score_ci_upper,coverage_ci_lower,coverage_ci_upper,called_accuracy_ci_lower,called_accuracy_ci_upper,bootstrap_method,bootstrap_iterations
amikacin,unsupported,insufficient class diversity in calibration,187,45,39,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azithromycin,unsupported,insufficient class diversity in calibration,78,3,6,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aztreonam,unsupported,insufficient class diversity in calibration,108,21,18,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta-lactam,unsupported,insufficient class diversity in training; insufficient class diversity in calibration; no hidden-test samples,0,1,0,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carbenicillin,unsupported,insufficient class diversity in training; insufficient class diversity in calibration,1,0,1,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cefalotin,unsupported,insufficient class diversity in calibration,18,8,3,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cefazolin,unsupported,insufficient class diversity in calibration,23,7,4,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cefotaxime/clavulanic acid,unsupported,insufficient class diversity in training; insufficient class diversity in calibration,0,0,1,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cefotetan,unsupported,insufficient class diversity in training; insufficient class diversity in calibration,11,3,1,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cefpodoxime,unsupported,insufficient class diversity in calibration,7,3,3,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cefpodoxime_clavulanic_acid,unsupported,insufficient class diversity in training; insufficient class diversity in calibration,7,2,3,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ceftazidime/avibactam,unsupported,insufficient class diversity in training; insufficient class diversity in calibration,7,0,2,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ceftiofur,unsupported,insufficient class diversity in calibration,11,5,4,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ceftolozane/tazobactam,unsupported,insufficient class diversity in training; insufficient class diversity in calibration; no hidden-test samples,1,0,0,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colistin,unsupported,insufficient class diversity in calibration,16,2,5,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doripenem,unsupported,insufficient class diversity in calibration,9,0,1,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doxycycline,unsupported,insufficient class diversity in calibration,6,3,5,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fosfomycin,unsupported,insufficient class diversity in training; insufficient class diversity in calibration; no hidden-test samples,21,3,0,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imipenem,unsupported,insufficient class diversity in calibration,80,29,24,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kanamycin,unsupported,insufficient class diversity in calibration,4,2,2,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levofloxacin,unsupported,insufficient class diversity in calibration,36,4,3,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lincomycin,unsupported,insufficient class diversity in training; insufficient class diversity in calibration,10,0,1,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linezolid,unsupported,insufficient class diversity in training; insufficient class diversity in calibration; no hidden-test samples,1,0,0,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minocycline,unsupported,insufficient class diversity in calibration,19,2,3,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moxifloxacin,unsupported,insufficient class diversity in calibration; no hidden-test samples,11,0,0,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neomycin,unsupported,insufficient class diversity in training; insufficient class diversity in calibration; no hidden-test samples,1,0,0,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nitrofurantoin,unsupported,insufficient class diversity in calibration,78,9,4,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norfloxacin,unsupported,insufficient class diversity in calibration,67,0,2,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ofloxacin,unsupported,insufficient class diversity in calibration; no hidden-test samples,6,0,0,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oxytetracycline,unsupported,insufficient class diversity in calibration,12,0,2,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
penicillin,unsupported,insufficient class diversity in training; insufficient class diversity in calibration; no hidden-test samples,1,1,0,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piperacillin,unsupported,insufficient class diversity in calibration; no hidden-test samples,5,0,0,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rifampin,unsupported,insufficient class diversity in training; insufficient class diversity in calibration; no hidden-test samples,2,1,0,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
streptomycin,unsupported,insufficient class diversity in calibration,67,3,5,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sulfamethoxazole,unsupported,insufficient class diversity in calibration,36,2,5,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sulfamethoxazole/trimethoprim,unsupported,insufficient class diversity in calibration,6,1,1,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sulfisoxazole,unsupported,insufficient class diversity in training; insufficient class diversity in calibration,3,1,4,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ticarcillin/clavulanic acid,unsupported,insufficient class diversity in training; insufficient class diversity in calibration; no hidden-test samples,1,0,0,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tigecycline,unsupported,insufficient class diversity in training; insufficient class diversity in calibration,235,92,74,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vancomycin,unsupported,insufficient class diversity in training; insufficient class diversity in calibration; no hidden-test samples,1,0,0,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
